"sample","farm","sampling.date","latitude","longitude","culling.date","gen.cluster"
"F1-1","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-11","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-13","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-14","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-16","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-18","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-2","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-3","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-4","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-5","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-6","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-7","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F1-8","F1","2020-04-24",51.46996,5.564997,"2020-06-08","A"
"F10-13","F10","2020-06-08",51.61825,5.791891,"2020-06-10","D"
"F10-2","F10","2020-06-08",51.61825,5.791891,"2020-06-10","D"
"F12-11","F12","2020-06-09",51.48917,6.035875,"2020-06-12","A"
"F12-23","F12","2020-06-09",51.48917,6.035875,"2020-06-12","A"
"F12-7","F12","2020-06-09",51.48917,6.035875,"2020-06-12","A"
"F13-10","F13","2020-06-14",51.61825,5.791891,"2020-06-15","A"
"F13-11","F13","2020-06-14",51.61825,5.791891,"2020-06-15","A"
"F13-16","F13","2020-06-14",51.61825,5.791891,"2020-06-15","A"
"F13-4","F13","2020-06-14",51.61825,5.791891,"2020-06-15","A"
"F13-9","F13","2020-06-14",51.61825,5.791891,"2020-06-15","A"
"F15-11","F15","2020-06-21",51.5513,5.682888,"2020-06-22","D"
"F15-2","F15","2020-06-21",51.5513,5.682888,"2020-06-22","D"
"F15-3","F15","2020-06-21",51.5513,5.682888,"2020-06-22","D"
"F15-8","F15","2020-06-21",51.5513,5.682888,"2020-06-22","D"
"F16-1","F16","2020-06-21",51.53896,5.719728,"2020-06-22","A"
"F16-10","F16","2020-06-21",51.53896,5.719728,"2020-06-22","A"
"F16-14","F16","2020-06-21",51.53896,5.719728,"2020-06-22","A"
"F16-2","F16","2020-06-21",51.53896,5.719728,"2020-06-22","A"
"F18-14","F18","2020-07-05",51.5513,5.682888,"2020-07-07","D"
"F18-17","F18","2020-07-05",51.5513,5.682888,"2020-07-07","D"
"F18-20","F18","2020-07-05",51.5513,5.682888,"2020-07-07","D"
"F18-8","F18","2020-07-05",51.5513,5.682888,"2020-07-07","D"
"F19-1","F19","2020-07-04",51.5513,5.682888,"2020-07-06","D"
"F19-12","F19","2020-07-04",51.5513,5.682888,"2020-07-06","D"
"F19-19","F19","2020-07-04",51.5513,5.682888,"2020-07-06","D"
"F19-9","F19","2020-07-04",51.5513,5.682888,"2020-07-06","D"
"F2-13","F2","2020-04-25",51.53949,5.630269,"2020-06-07","B"
"F2-19","F2","2020-04-25",51.53949,5.630269,"2020-06-07","B"
"F2-2","F2","2020-04-25",51.53949,5.630269,"2020-06-07","B"
"F2-3","F2","2020-04-25",51.53949,5.630269,"2020-06-07","B"
"F2-6","F2","2020-04-25",51.53949,5.630269,"2020-06-07","B"
"F2-7","F2","2020-04-25",51.53949,5.630269,"2020-06-07","B"
"F2-8","F2","2020-04-25",51.53949,5.630269,"2020-06-07","B"
"F20-1","F20","2020-07-09",51.2995,5.786199,"2020-07-11","A"
"F20-2","F20","2020-07-09",51.2995,5.786199,"2020-07-11","A"
"F20-3","F20","2020-07-09",51.2995,5.786199,"2020-07-11","A"
"F20-5","F20","2020-07-09",51.2995,5.786199,"2020-07-11","A"
"F25-11","F25","2020-07-26",51.60834,5.875142,"2020-07-27","D"
"F25-12","F25","2020-07-26",51.60834,5.875142,"2020-07-27","D"
"F28-2","F28","2020-08-08",51.58078,5.769266,"2020-08-10","D"
"F28-3","F28","2020-08-08",51.58078,5.769266,"2020-08-10","D"
"F28-6","F28","2020-08-08",51.58078,5.769266,"2020-08-10","D"
"F28-7","F28","2020-08-08",51.58078,5.769266,"2020-08-10","D"
"F28-9","F28","2020-08-08",51.58078,5.769266,"2020-08-10","D"
"F3-2","F3","2020-05-07",51.48293,5.786869,"2020-06-06","A"
"F3-4","F3","2020-05-07",51.48293,5.786869,"2020-06-06","A"
"F3-6","F3","2020-05-07",51.48293,5.786869,"2020-06-06","A"
"F4-2","F4","2020-05-07",51.53896,5.719728,"2020-06-09","A"
"F5-13","F5","2020-05-31",51.61825,5.791891,"2020-06-09","D"
"F8-11","F8b","2020-06-02",51.48983,5.896836,"2020-06-08","A"
"F8-14","F8b","2020-06-02",51.48983,5.896836,"2020-06-08","A"
"F8-16","F8b","2020-06-02",51.48983,5.896836,"2020-06-08","A"
"F8-20","F8a","2020-06-02",51.48983,5.896836,"2020-06-08","D"
"F8-8","F8b","2020-06-02",51.48983,5.896836,"2020-06-08","A"
"F8-9","F8b","2020-06-02",51.48983,5.896836,"2020-06-08","A"
